1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1.024078847e-09,1.330466763e-09,1.441574652e-09,1.464888617e-09,1.476482111e-09,1.484161274e-09,1.489988955e-09,1.494764917e-09,1.498860636e-09,1.502444811e-09,1.505650259e-09,1.508570282e-09,1.511264629e-09,1.513715162e-09,1.516002095e-09,1.518148381e-09,1.52017199e-09,1.522075568e-09,1.523874992e-09,1.525596971e-09,1.527278678e-09,1.528958457e-09,1.530691249e-09,1.532541283e-09,1.534557225e-09,1.536843728e-09,1.539502013e-09,1.542604836e-09,1.546148229e-09,1.5501687e-09,1.554666086e-09,1.559486438e-09,1.564658475e-09,1.570103918e-09,1.575767321e-09,1.581586248e-09,1.587512157e-09,1.59351933e-09,1.599596442e-09,1.605727647e-09,1.611890255e-09,1.618089126e-09,1.624319751e-09,1.630547261e-09,1.636787885e-09,1.643037754e-09,1.649277442e-09,1.655497711e-09,1.661703611e-09,1.667875417e-09,1.674000382e-09,1.680081573e-09,1.686094755e-09,1.692036376e-09,1.697899563e-09,1.70366891e-09,1.709342365e-09,1.714904931e-09,1.720352747e-09,1.725679082e-09,1.730874488e-09,1.7359365e-09,1.740856792e-09,1.745633556e-09,1.750260554e-09,1.754736021e-09,1.759056513e-09,1.763219926e-09,1.767225455e-09,1.7710712e-09,1.774757122e-09,1.778283433e-09,1.781650403e-09,1.784859437e-09,1.787912325e-09,1.790811727e-09,1.793561217e-09,1.796165886e-09,1.798632828e-09,1.800972233e-09,1.8031982e-09,1.805328039e-09,1.807377189e-09,1.80934955e-09,1.811221666e-09,1.812909442e-09,1.81418518e-09,1.814877063e-09,1.815348975e-09,1.815780599e-09,1.816187277e-09,1.816558503e-09,1.816861297e-09,1.817040593e-09,1.817102649e-09,1.817116634e-09,1.817121936e-09,1.817125898e-09,1.817129276e-09,1.817132248e-09,1.817134906e-09
4.765236991e-09,6.74074569e-09,7.699461896e-09,7.899890708e-09,7.990392969e-09,8.047439952e-09,8.089608189e-09,8.123624778e-09,8.152499664e-09,8.17769404e-09,8.200149056e-09,8.220546636e-09,8.239255182e-09,8.256473323e-09,8.272441674e-09,8.287423714e-09,8.30155953e-09,8.314881629e-09,8.327445653e-09,8.339382926e-09,8.350861355e-09,8.362823314e-09,8.372950667e-09,8.383840381e-09,8.394995353e-09,8.406761646e-09,8.419499485e-09,8.43312847e-09,8.449374667e-09,8.467163542e-09,8.487105644e-09,8.509189479e-09,8.533345283e-09,8.559495928e-09,8.587585421e-09,8.617247428e-09,8.648113825e-09,8.68039604e-09,8.713818721e-09,8.748292725e-09,8.783815769e-09,8.820241363e-09,8.857607608e-09,8.895806255e-09,8.93478977e-09,8.974424656e-09,9.01454156e-09,9.054568986e-09,9.093604461e-09,9.131211738e-09,9.16815435e-09,9.20545498e-09,9.243736099e-09,9.283230552e-09,9.32400228e-09,9.366064555e-09,9.409406186e-09,9.45391932e-09,9.499899183e-09,9.545234228e-09,9.58669138e-09,9.619060988e-09,9.643378531e-09,9.665496633e-09,9.687628536e-09,9.71011489e-09,9.733008547e-09,9.756325363e-09,9.78007248e-09,9.804252153e-09,9.828862379e-09,9.853897343e-09,9.879347906e-09,9.905202628e-09,9.931447387e-09,9.958062062e-09,9.985006692e-09,1.001218538e-08,1.003935567e-08,1.006591002e-08,1.009015614e-08,1.010803453e-08,1.011717249e-08,1.012304422e-08,1.012817184e-08,1.013303101e-08,1.013771942e-08,1.014226426e-08,1.014665573e-08,1.01508482e-08,1.015474275e-08,1.015814898e-08,1.016075338e-08,1.016229234e-08,1.016292662e-08,1.016311174e-08,1.016318131e-08,1.016322912e-08,1.016326801e-08,1.016330109e-08,1.016332994e-08
1.174931358e-08,1.91190822e-08,2.518066076e-08,2.65502789e-08,2.699642634e-08,2.723399314e-08,2.738011916e-08,2.747829827e-08,2.754853579e-08,2.760155707e-08,2.764366517e-08,2.767859836e-08,2.770857348e-08,2.773492992e-08,2.775855274e-08,2.778004873e-08,2.779980224e-08,2.781807337e-08,2.783509893e-08,2.785108672e-08,2.786617346e-08,2.788044028e-08,2.789395851e-08,2.790682689e-08,2.791916283e-08,2.793107918e-08,2.794271034e-08,2.795426675e-08,2.796606832e-08,2.797853875e-08,2.799217902e-08,2.800755787e-08,2.802527492e-08,2.8046004e-08,2.80701085e-08,2.809784296e-08,2.812925731e-08,2.816435786e-08,2.820321672e-08,2.824570144e-08,2.829167659e-08,2.834091784e-08,2.839316026e-08,2.844833578e-08,2.850618506e-08,2.85665796e-08,2.862931991e-08,2.869414382e-08,2.876075391e-08,2.882891229e-08,2.889843178e-08,2.896905727e-08,2.90404802e-08,2.911248176e-08,2.918487628e-08,2.925739471e-08,2.93298061e-08,2.940195438e-08,2.947362717e-08,2.95446345e-08,2.961484485e-08,2.968408875e-08,2.97522363e-08,2.981917336e-08,2.988477759e-08,2.994896271e-08,3.001163258e-08,3.007271612e-08,3.013214279e-08,3.018985691e-08,3.024580755e-08,3.029995494e-08,3.035226403e-08,3.040270923e-08,3.04512696e-08,3.049793166e-08,3.054268727e-08,3.058553389e-08,3.062647522e-08,3.066552078e-08,3.07026868e-08,3.07379979e-08,3.077148979e-08,3.080321402e-08,3.083324619e-08,3.086169558e-08,3.088871053e-08,3.091446405e-08,3.093910179e-08,3.096264936e-08,3.098487802e-08,3.100508114e-08,3.102177791e-08,3.103356241e-08,3.104166173e-08,3.104804061e-08,3.105342897e-08,3.105795527e-08,3.106153889e-08,3.106406372e-08,3.106554747e-08
1.429070918e-08,2.441010908e-08,3.473598997e-08,3.79799606e-08,3.924462684e-08,3.99399888e-08,4.037750687e-08,4.067639211e-08,4.08943986e-08,4.106311243e-08,4.120048602e-08,4.131683395e-08,4.141822558e-08,4.150853229e-08,4.159031483e-08,4.166517329e-08,4.173422931e-08,4.179847924e-08,4.185872869e-08,4.191549064e-08,4.196908135e-08,4.201980891e-08,4.206807376e-08,4.211429917e-08,4.215888066e-08,4.22022993e-08,4.224530017e-08,4.228899852e-08,4.233486422e-08,4.238467524e-08,4.244047705e-08,4.250454292e-08,4.257893724e-08,4.266518904e-08,4.276410426e-08,4.287608413e-08,4.300144236e-08,4.31406702e-08,4.329367869e-08,4.346021958e-08,4.363983883e-08,4.38320979e-08,4.403697158e-08,4.425415661e-08,4.448332974e-08,4.472382584e-08,4.497462445e-08,4.523445104e-08,4.550216998e-08,4.577694079e-08,4.605768256e-08,4.634236915e-08,4.662808629e-08,4.691237419e-08,4.719541771e-08,4.747938457e-08,4.776616533e-08,4.80561836e-08,4.83479398e-08,4.863771433e-08,4.891845953e-08,4.918178777e-08,4.942632082e-08,4.966055607e-08,4.98933036e-08,5.012836696e-08,5.036658236e-08,5.06076126e-08,5.085040539e-08,5.10929518e-08,5.133138676e-08,5.155797573e-08,5.175942255e-08,5.192627698e-08,5.207082329e-08,5.220908227e-08,5.234654266e-08,5.248440991e-08,5.262290988e-08,5.276195802e-08,5.290123984e-08,5.304014697e-08,5.317759753e-08,5.331164517e-08,5.343863399e-08,5.355169024e-08,5.364176864e-08,5.37095311e-08,5.376590222e-08,5.381713641e-08,5.386511719e-08,5.391028439e-08,5.39525063e-08,5.399128558e-08,5.402584224e-08,5.405524767e-08,5.407871863e-08,5.40960027e-08,5.410752434e-08,5.411428128e-08,5.411800788e-08
1.50290644e-09,2.66663415e-09,5.129527545e-09,8.23367705e-09,1.204008587e-08,1.650229411e-08,2.155585004e-08,2.714957108e-08,3.323427074e-08,3.974490707e-08,4.661251494e-08,5.379113372e-08,6.125612236e-08,6.897725763e-08,7.691225665e-08,8.502706767e-08,9.331909992e-08,1.018223053e-07,1.105932984e-07,1.19698119e-07,1.292094001e-07,1.391997603e-07,1.497264066e-07,1.608222068e-07,1.725018829e-07,1.847709344e-07,1.976331247e-07,2.110972506e-07,2.251722336e-07,2.398550285e-07,2.551240221e-07,2.709390289e-07,2.872481401e-07,3.039920607e-07,3.21113891e-07,3.385843716e-07,3.564181004e-07,3.746470751e-07,3.932651903e-07,4.12172091e-07,4.311205961e-07,4.49749498e-07,4.678810834e-07,4.857942083e-07,5.039258845e-07,5.225458646e-07,5.417639716e-07,5.616083704e-07,5.820634847e-07,6.030801384e-07,6.245720106e-07,6.464000149e-07,6.683403565e-07,6.900365309e-07,7.109688141e-07,7.305580155e-07,7.484933013e-07,7.649419102e-07,7.802968251e-07,7.948851866e-07,8.089145432e-07,8.225100912e-07,8.357460325e-07,8.486628454e-07,8.612771637e-07,8.73588178e-07,8.855821381e-07,8.972356501e-07,9.085185934e-07,9.193965274e-07,9.298329967e-07,9.397917719e-07,9.492390328e-07,9.581454298e-07,9.664878945e-07,9.742510295e-07,9.814279142e-07,9.88020251e-07,9.940379216e-07,9.994981544e-07,1.004424531e-06,1.008845973e-06,1.012795731e-06,1.016310296e-06,1.01942822e-06,1.022188846e-06,1.024631076e-06,1.026792271e-06,1.028707397e-06,1.030408441e-06,1.031924111e-06,1.03327976e-06,1.034497494e-06,1.035596392e-06,1.0365928e-06,1.037500646e-06,1.038331753e-06,1.039096141e-06,1.03980229e-06,1.040457379e-06,1.041067488e-06
1.23381319e-13,1.675455755e-13,2.265372236e-13,2.687668564e-13,3.123749694e-13,3.460547045e-13,3.813467488e-13,4.171896967e-13,4.445293356e-13,4.745705211e-13,5.097845694e-13,5.400094966e-13,5.65998158e-13,5.949501514e-13,6.281378108e-13,6.613051635e-13,6.907763686e-13,7.191826742e-13,7.497467468e-13,7.825188225e-13,8.166694601e-13,8.504027894e-13,8.828180319e-13,9.149668723e-13,9.484174254e-13,9.835809307e-13,1.020408685e-12,1.057659202e-12,1.093785546e-12,1.129627829e-12,1.166587111e-12,1.205078945e-12,1.245450026e-12,1.285995676e-12,1.325971586e-12,1.366025368e-12,1.407357378e-12,1.450348167e-12,1.494457718e-12,1.538650781e-12,1.582682531e-12,1.62780672e-12,1.674387149e-12,1.721284441e-12,1.76768308e-12,1.815330472e-12,1.864647084e-12,1.913361096e-12,1.96278329e-12,2.012433913e-12,2.060136463e-12,2.106519229e-12,2.152714847e-12,2.199125393e-12,2.24566208e-12,2.289786483e-12,2.330970217e-12,2.373298563e-12,2.419790222e-12,2.472495398e-12,2.531852072e-12,2.5946445e-12,2.654858241e-12,2.709570288e-12,2.751832697e-12,2.780053833e-12,2.80433014e-12,2.828834814e-12,2.854537752e-12,2.881623044e-12,2.910368761e-12,2.941327669e-12,2.975668967e-12,3.016919452e-12,3.076736266e-12,3.174351863e-12,3.281108626e-12,3.353017921e-12,3.37896498e-12,3.392542415e-12,3.405700662e-12,3.419825275e-12,3.4352711e-12,3.452726025e-12,3.473117992e-12,3.498886994e-12,3.536960116e-12,3.608154474e-12,3.776848042e-12,3.875739422e-12,3.904719504e-12,3.960011593e-12,4.176351568e-12,4.658056355e-12,4.871003996e-12,4.90454626e-12,4.923398028e-12,4.940741635e-12,4.957356572e-12,4.973371666e-12,4.988968096e-12
1.61785354e-13,2.239109716e-13,2.9200042e-13,3.498654084e-13,4.053874207e-13,4.534814876e-13,5.001983085e-13,5.50558233e-13,6.033205188e-13,6.550136695e-13,7.04018016e-13,7.518741108e-13,7.999024357e-13,8.48723679e-13,8.983729085e-13,9.47781012e-13,9.955005475e-13,1.04174084e-12,1.088046757e-12,1.135514278e-12,1.184395426e-12,1.23487579e-12,1.286584768e-12,1.33850105e-12,1.389752617e-12,1.440819192e-12,1.492991222e-12,1.546759337e-12,1.602291287e-12,1.659659071e-12,1.718682871e-12,1.778109134e-12,1.837180096e-12,1.896699468e-12,1.957645212e-12,2.020317079e-12,2.085071185e-12,2.151663607e-12,2.218923919e-12,2.285886265e-12,2.353217312e-12,2.421802455e-12,2.492391331e-12,2.564612488e-12,2.637018606e-12,2.708666197e-12,2.781236176e-12,2.855508688e-12,2.930006423e-12,3.003501219e-12,3.077930509e-12,3.15316606e-12,3.227118165e-12,3.301360375e-12,3.375786245e-12,3.448973865e-12,3.522180011e-12,3.594580965e-12,3.666076657e-12,3.736945942e-12,3.806631107e-12,3.875470336e-12,3.943045803e-12,4.009640824e-12,4.074936902e-12,4.139099359e-12,4.202013439e-12,4.263722355e-12,4.324343029e-12,4.384057088e-12,4.443394715e-12,4.503372825e-12,4.565757215e-12,4.634742407e-12,4.721033155e-12,4.844412285e-12,4.984777955e-12,5.08979483e-12,5.130890458e-12,5.146142136e-12,5.160966326e-12,5.179286856e-12,5.20478896e-12,5.24698743e-12,5.338296739e-12,5.577999745e-12,5.799414633e-12,6.225450884e-12,6.636622453e-12,6.729430113e-12,6.756150735e-12,6.778136543e-12,6.799507151e-12,6.820728895e-12,6.841780729e-12,6.862874653e-12,6.884170458e-12,6.905859416e-12,6.928121467e-12,6.951275315e-12,6.975553726e-12
3.734177305e-16,6.645865937e-16,1.0353765250000001e-15,1.4206029250000001e-15,1.690340056e-15,2.032257002e-15,2.248799069e-15,2.475228257e-15,2.7738378040000002e-15,3.005079022e-15,3.1638766e-15,3.366244461e-15,3.611658456e-15,3.862148832e-15,4.059702654e-15,4.223312825e-15,4.420869849e-15,4.627787288e-15,4.859029203e-15,5.104704016e-15,5.330871899e-15,5.542864479e-15,5.745234052e-15,5.952150904e-15,6.183391554e-15,6.433877937e-15,6.688916464e-15,6.978704096e-15,7.243633054e-15,7.48930515e-15,7.744606981e-15,7.994832151e-15,8.279009052e-15,8.582426025000001e-15,8.905101299e-15,9.247013529e-15,9.569681287000001e-15,9.873103796e-15,1.0190966080000002e-14,1.0532878310000001e-14,1.089911937e-14,1.129396782e-14,1.1703252850000001e-14,1.210291508e-14,1.248840559e-14,1.288325283e-14,1.3302425630000001e-14,1.3764644680000001e-14,1.4251186e-14,1.468934236e-14,1.5132575170000003e-14,1.5614304490000002e-14,1.6129454230000002e-14,1.660637145e-14,1.7083289640000002e-14,1.7603513190000002e-14,1.8119727490000003e-14,1.8596645820000002e-14,1.9107248070000002e-14,1.960822487e-14,2.008514142e-14,2.0581303550000003e-14,2.1048597080000003e-14,2.1520697480000003e-14,2.19783664e-14,2.2421597370000002e-14,2.2869908180000002e-14,2.3293887470000003e-14,2.37082467e-14,2.4113246780000003e-14,2.450354319e-14,2.4899725380000002e-14,2.52611468e-14,2.562283625e-14,2.5960202830000004e-14,2.629783114e-14,2.6625578440000003e-14,2.6958390040000002e-14,2.730083359e-14,2.7739517880000002e-14,2.8611801620000004e-14,2.966801723e-14,3.0405569140000006e-14,3.0560076350000005e-14,3.060872374e-14,3.064267447e-14,3.068649907e-14,3.073996269e-14,3.079823121e-14,3.092386848e-14,3.1825289590000006e-14,3.332954424e-14,3.4949020920000005e-14,3.781611053e-14,3.842454201e-14,3.855044534e-14,3.8652014690000006e-14,3.8758670390000005e-14,3.885540718e-14,3.8957199120000005e-14,3.905393031e-14
-2.315746849e-16,1.518982393e-17,2.279166239e-17,3.418751487e-17,4.5583259289999995e-17,4.938191873e-17,6.077775875e-17,6.837508167e-17,7.217366970999999e-17,7.977085929e-17,8.736816293e-17,9.116678615999999e-17,9.49653987e-17,1.0256264179999999e-16,1.179473306e-16,1.2554459049999999e-16,1.293432659e-16,1.36940534e-16,1.4073905439999998e-16,1.4833623389999998e-16,1.5593358279999998e-16,1.635308212e-16,1.711280617e-16,1.7492661879999998e-16,1.825238582e-16,1.901211337e-16,1.97718421e-16,2.0531566019999997e-16,2.129128219e-16,2.2051005739999997e-16,2.3190589839999997e-16,2.395031465e-16,2.471003827e-16,2.5849626329999996e-16,2.6989205759999996e-16,2.7748936459999996e-16,2.888851374e-16,2.9648242059999996e-16,3.078782365e-16,3.1927415509999995e-16,3.3446861609999996e-16,3.5365204689999995e-16,3.6504802129999997e-16,3.7644379249999997e-16,3.916382237e-16,4.030341137e-16,4.1822854459999995e-16,4.3342305489999994e-16,4.486174932e-16,4.600133068999999e-16,4.790064828e-16,4.942009316e-16,5.055967529e-16,5.207911713999999e-16,5.321869818e-16,5.551691773e-16,5.703637142999999e-16,5.855581691999999e-16,5.969539933999999e-16,6.045512405999999e-16,6.159471049e-16,6.273428224e-16,6.387387907e-16,6.539331215999999e-16,6.729262937999999e-16,6.919193803e-16,7.187001761999999e-16,7.376931967e-16,7.566863091999999e-16,7.642834862999999e-16,7.71880862e-16,7.756794507e-16,7.79477804e-16,7.832766450999999e-16,7.908738994999999e-16,7.94672217e-16,7.984708253999999e-16,8.060683474999999e-16,8.098669718999999e-16,8.17464135e-16,8.290504846999999e-16,8.480432530999999e-16,9.012240709e-16,9.278144513999999e-16,9.316131618999999e-16,9.31612937e-16,9.316128986999999e-16,9.316131488e-16,9.431994363999999e-16,9.431993829e-16,9.69789743e-16,1.003977255e-15,1.057157957e-15,1.121924721e-15,1.133320357e-15,1.133320454e-15,1.1371192830000001e-15,1.140917986e-15,1.1409179410000001e-15,1.144716597e-15,1.1485150970000001e-15
3.143071142e-12,3.783544387e-12,4.021864155e-12,4.115649895e-12,4.188822269e-12,4.253397481e-12,4.315143583e-12,4.366691967e-12,4.416223515e-12,4.467790534e-12,4.515545559e-12,4.557769124e-12,4.599628428e-12,4.643138388e-12,4.68695102e-12,4.728725478e-12,4.767927911e-12,4.806640272e-12,4.845972116e-12,4.886225254e-12,4.927210507e-12,4.967249308e-12,5.005639233e-12,5.043581036e-12,5.082293198e-12,5.121968612e-12,5.162655516e-12,5.203254024e-12,5.242847262e-12,5.282036199e-12,5.321821235e-12,5.362744591e-12,5.404888242e-12,5.447505109e-12,5.489798627e-12,5.532160063e-12,5.575375766e-12,5.620202879e-12,5.666398467e-12,5.713283268e-12,5.76038051e-12,5.808488279e-12,5.858310894e-12,5.909589549e-12,5.961599336e-12,6.014595566e-12,6.069197722e-12,6.124060578e-12,6.176437103e-12,6.227336174e-12,6.276282664e-12,6.323196308e-12,6.362931507e-12,6.39613006e-12,6.428425943e-12,6.461883297e-12,6.496862713e-12,6.533622303e-12,6.572418976e-12,6.61355179e-12,6.657579798e-12,6.705187619e-12,6.757490372e-12,6.816289419e-12,6.884219276e-12,6.968610975e-12,7.079477635e-12,7.221681815e-12,7.356793149e-12,7.441944614e-12,7.466413313e-12,7.477615923e-12,7.487917881e-12,7.498393037e-12,7.50912544e-12,7.520222722e-12,7.531792425e-12,7.543941509e-12,7.556798546e-12,7.570601942e-12,7.585624931e-12,7.60251272e-12,7.622552618e-12,7.648752736e-12,7.689136341e-12,7.774345865e-12,7.954926309e-12,8.03655842e-12,8.068117701e-12,8.145380309e-12,8.37158767e-12,8.6220423e-12,8.708334875e-12,8.728732796e-12,8.743106571e-12,8.75670694e-12,8.769965581e-12,8.782985305e-12,8.795919198e-12,8.808740263e-12,8.821487231e-12
